Type,Value,Type,Value,Type,Value,Type,Value
Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150,Data Source,eHot150 : TMD2 : WFM_IAMC_EHOT150
Element,500,Element,500,Element,500,Element,500
,,,,,,,
,,,,,,,
Time[s],Area,Time[s],Total Albedo Heat Source,Time[s],Total Earth Heat Source,Time[s],Total Solar Heat Source
0.0,0.767865,0.0,0.0,0.0,0.0,0.0,209.4367864338687
50.0,0.767865,50.0,0.05441127036071983,50.0,0.2895444477511343,50.0,209.43707054071612
100.0,0.767865,100.0,0.10882254072143965,100.0,0.5790888955022686,100.0,209.43735464756358
150.0,0.767865,150.0,0.16323381108215948,150.0,0.8686333432534029,150.0,209.437638754411
200.0,0.767865,200.0,0.2176450814428793,200.0,1.1581777910045372,200.0,209.43792286125847
250.0,0.767865,250.0,0.27205635180359916,250.0,1.4477222387556716,250.0,209.4382069681059
300.0,0.767865,300.0,0.32646762216431896,300.0,1.7372666865068058,300.0,209.43849107495333
350.0,0.767865,350.0,0.38087889252503876,350.0,2.0268111342579402,350.0,209.4387751818008
400.0,0.767865,400.0,0.4352901628857586,400.0,2.3163555820090744,400.0,209.43905928864822
450.0,0.767865,450.0,0.48970143324647847,450.0,2.6059000297602086,450.0,209.43934339549565
500.0,0.767865,500.0,0.4774211169480878,500.0,3.1159682625032383,500.0,209.43963005293818
550.0,0.767865,550.0,0.4133427848722676,550.0,3.797312889564114,550.0,209.4399186913767
600.0,0.767865,600.0,0.34926445279644747,600.0,4.47865751662499,600.0,209.4402073298152
650.0,0.767865,650.0,0.2851861207206272,650.0,5.160002143685865,650.0,209.4404959682537
700.0,0.767865,700.0,0.221107788644807,700.0,5.841346770746743,700.0,209.4407846066922
750.0,0.767865,750.0,0.1570294565689868,750.0,6.522691397807618,750.0,209.44107324513072
800.0,0.767865,800.0,0.09295112449316661,800.0,7.204036024868493,800.0,209.44136188356921
850.0,0.767865,850.0,0.028872792417346416,850.0,7.8853806519293705,850.0,209.4416505220077
900.0,0.767865,900.0,0.0,900.0,8.549601735993306,900.0,0.0
950.0,0.767865,950.0,0.0,950.0,9.193207922051265,950.0,0.0
1000.0,0.767865,1000.0,0.0,1000.0,9.86137424422113,1000.0,0.0
1050.0,0.767865,1050.0,0.0,1050.0,10.529540566390997,1050.0,0.0
1100.0,0.767865,1100.0,0.0,1100.0,11.197706888560864,1100.0,0.0
1150.0,0.767865,1150.0,0.0,1150.0,11.865873210730731,1150.0,0.0
1200.0,0.767865,1200.0,0.0,1200.0,12.534039532900596,1200.0,0.0
1250.0,0.767865,1250.0,0.0,1250.0,13.202205855070464,1250.0,0.0
1300.0,0.767865,1300.0,0.0,1300.0,13.87037217724033,1300.0,0.0
